"Vertical";"SubTipo";"Marca";"Nombre"
"Suplementos";"Vitaminas y Salud";"Pgn";"Uña De Gato Uncaria Tomentosa X 120ml Laboratorio Pgn Una De Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Pgn";"Cardio Magnesio Pgn 30 Caps Con Magnesio, Potasio, Omega 3 Sin Sabor"
"Suplementos";"Quemadores";"Pgn";"PGN Andino - Extractos Herbales en Gotas | 30 Fórmulas Naturales (Estrés, Obesidad, Digestión, Colesterol, Laxante, Insomnio)"
"Suplementos";"Vitaminas y Salud";"Pgn";"Pgn Andino Gripe Eucalipto, Ambay Y Vitamina C Sin Sabor"
"Suplementos";"BCAA-Aminos";"Pgn";"Aminoácidos Totales Pgn X 30 Capsulas Sabor Sin Sabor Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Pgn";"Pgn Andino Cistitis Arandano, Ortiga Y Zinc Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Pgn";"Pgn Andino Colesterol Palta, Fucus,carinitina Y Acido Folico Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Pgn";"Pgn Andino Diuretico Uva Ursi, Cola De Caballo, Vitamina B6 Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Pgn";"Pgn Suplemento Dietario A Base De Melena De Leon"
"Suplementos";"Vitaminas y Salud";"Pgn";"Suplemento En Polvo Full Complex Colmillot Pgn 300g En Pote Vainilla"
"Suplementos";"Vitaminas y Salud";"Vits";"Magnesio Complex Vits 120 Cápsulas"
